State,Tot_Cases,Tot_Deaths
Alaska,151583,947
Alabama,904526,16747
Arkansas,566486,9148
Arizona,1381488,24229
California,5477529,75847
Colorado,955270,10271
Connecticut,510188,9160
Delaware,178886,2400
District of Columbia,94286,1211
Florida,4249748,63184
Georgia,1839879,31443
Hawaii,109576,1079
Idaho,319382,4162
Illinois,2181009,31017
Indiana,1246854,19037
Iowa,582348,7858
Kansas,519544,7001
Kentucky,880163,13063
Louisiana,828695,14986
Maine,154173,1531
Maryland,720888,11875
Massachusetts,1140614,20273
Michigan,1710271,29019
Minnesota,1022212,10656
Mississippi,543737,10450
Missouri,1006913,16074
Montana,197724,2906
Nebraska,342939,3341
Nevada,501181,8420
New Hampshire,198667,1961
New Jersey,1564253,29037
New Mexico,350043,5855
New York,1924606,23611
North Carolina,1695105,19828
North Dakota,174626,2012
Ohio,2016095,29447
Oklahoma,708938,11555
Oregon,421263,5655
Pennsylvania,2036424,36705
Rhode Island,222729,3074
South Carolina,978154,14675
South Dakota,179204,2486
Tennessee,1425369,20880
Texas,4576799,74491
Utah,636992,3787
Vermont,60788,453
Virginia,1133238,15601
Washington,859170,9853
Wisconsin,1120669,11173
West Virginia,328162,5336
Wyoming,115638,1526
