,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020
115,2017,Mississippi,28,422000,0,0,291035,596914,643964,451199,1272685,1206102,66583,5.2,1268435,1205737,62698,4.9,1277143,1207543,69600,5.4,1243515,1145211,98304,7.9,1254239,1184401,69838,5.6,47368,100
116,2018,Mississippi,28,663000,0,0,291035,596914,643964,451199,1272685,1206102,66583,5.2,1268435,1205737,62698,4.9,1277143,1207543,69600,5.4,1243515,1145211,98304,7.9,1254239,1184401,69838,5.6,47368,100
117,2019,Mississippi,28,385000,0,0,291035,596914,643964,451199,1272685,1206102,66583,5.2,1268435,1205737,62698,4.9,1277143,1207543,69600,5.4,1243515,1145211,98304,7.9,1254239,1184401,69838,5.6,47368,100
118,2020,Mississippi,28,431000,221928,5646,291035,596914,643964,451199,1272685,1206102,66583,5.2,1268435,1205737,62698,4.9,1277143,1207543,69600,5.4,1243515,1145211,98304,7.9,1254239,1184401,69838,5.6,47368,100
119,2021,Mississippi,28,446000,543737,10450,291035,596914,643964,451199,1272685,1206102,66583,5.2,1268435,1205737,62698,4.9,1277143,1207543,69600,5.4,1243515,1145211,98304,7.9,1254239,1184401,69838,5.6,47368,100
120,2017,Missouri,29,862000,0,0,393045,1275987,1257176,1250584,3053526,2939306,114220,3.7,3045865,2949910,95955,3.2,3072073,2976643,95430,3.1,3037162,2853353,183809,6.1,3062449,2928368,134081,4.4,58812,100
121,2018,Missouri,29,678000,0,0,393045,1275987,1257176,1250584,3053526,2939306,114220,3.7,3045865,2949910,95955,3.2,3072073,2976643,95430,3.1,3037162,2853353,183809,6.1,3062449,2928368,134081,4.4,58812,100
122,2019,Missouri,29,828000,0,0,393045,1275987,1257176,1250584,3053526,2939306,114220,3.7,3045865,2949910,95955,3.2,3072073,2976643,95430,3.1,3037162,2853353,183809,6.1,3062449,2928368,134081,4.4,58812,100
123,2020,Missouri,29,993000,449569,6856,393045,1275987,1257176,1250584,3053526,2939306,114220,3.7,3045865,2949910,95955,3.2,3072073,2976643,95430,3.1,3037162,2853353,183809,6.1,3062449,2928368,134081,4.4,58812,100
124,2021,Missouri,29,1056000,1006913,16074,393045,1275987,1257176,1250584,3053526,2939306,114220,3.7,3045865,2949910,95955,3.2,3072073,2976643,95430,3.1,3037162,2853353,183809,6.1,3062449,2928368,134081,4.4,58812,100
125,2017,Montana,30,154000,0,0,44228,206206,240758,243496,528441,506871,21570,4.1,533821,513858,19963,3.7,542279,522898,19381,3.6,542917,511616,31301,5.8,549743,531202,18541,3.4,57730,100
126,2018,Montana,30,636000,0,0,44228,206206,240758,243496,528441,506871,21570,4.1,533821,513858,19963,3.7,542279,522898,19381,3.6,542917,511616,31301,5.8,549743,531202,18541,3.4,57730,100
127,2019,Montana,30,164000,0,0,44228,206206,240758,243496,528441,506871,21570,4.1,533821,513858,19963,3.7,542279,522898,19381,3.6,542917,511616,31301,5.8,549743,531202,18541,3.4,57730,100
128,2020,Montana,30,163000,81555,961,44228,206206,240758,243496,528441,506871,21570,4.1,533821,513858,19963,3.7,542279,522898,19381,3.6,542917,511616,31301,5.8,549743,531202,18541,3.4,57730,100
129,2021,Montana,30,171000,197724,2906,44228,206206,240758,243496,528441,506871,21570,4.1,533821,513858,19963,3.7,542279,522898,19381,3.6,542917,511616,31301,5.8,549743,531202,18541,3.4,57730,100
130,2017,Nebraska,31,251000,0,0,106184,324098,419943,409315,1023163,992740,30423,3,1034214,1004261,29953,2.9,1048820,1016904,31916,3,1044541,1001426,43115,4.1,1049033,1022662,26371,2.5,64735,100
131,2018,Nebraska,31,1441000,0,0,106184,324098,419943,409315,1023163,992740,30423,3,1034214,1004261,29953,2.9,1048820,1016904,31916,3,1044541,1001426,43115,4.1,1049033,1022662,26371,2.5,64735,100
132,2019,Nebraska,31,258000,0,0,106184,324098,419943,409315,1023163,992740,30423,3,1034214,1004261,29953,2.9,1048820,1016904,31916,3,1044541,1001426,43115,4.1,1049033,1022662,26371,2.5,64735,100
133,2020,Nebraska,31,257000,167233,1651,106184,324098,419943,409315,1023163,992740,30423,3,1034214,1004261,29953,2.9,1048820,1016904,31916,3,1044541,1001426,43115,4.1,1049033,1022662,26371,2.5,64735,100
134,2021,Nebraska,31,290000,342939,3341,106184,324098,419943,409315,1023163,992740,30423,3,1034214,1004261,29953,2.9,1048820,1016904,31916,3,1044541,1001426,43115,4.1,1049033,1022662,26371,2.5,64735,100
135,2017,Nevada,32,392000,0,0,273999,584698,702126,532997,1444262,1372022,72240,5,1492831,1427371,65460,4.4,1541772,1479777,61995,4,1502848,1299640,203208,13.5,1504761,1395939,108822,7.2,64608,100
136,2018,Nevada,32,392000,0,0,273999,584698,702126,532997,1444262,1372022,72240,5,1492831,1427371,65460,4.4,1541772,1479777,61995,4,1502848,1299640,203208,13.5,1504761,1395939,108822,7.2,64608,100
137,2019,Nevada,32,404000,0,0,273999,584698,702126,532997,1444262,1372022,72240,5,1492831,1427371,65460,4.4,1541772,1479777,61995,4,1502848,1299640,203208,13.5,1504761,1395939,108822,7.2,64608,100
138,2020,Nevada,32,474000,224731,3125,273999,584698,702126,532997,1444262,1372022,72240,5,1492831,1427371,65460,4.4,1541772,1479777,61995,4,1502848,1299640,203208,13.5,1504761,1395939,108822,7.2,64608,100
139,2021,Nevada,32,512000,501181,8420,273999,584698,702126,532997,1444262,1372022,72240,5,1492831,1427371,65460,4.4,1541772,1479777,61995,4,1502848,1299640,203208,13.5,1504761,1395939,108822,7.2,64608,100
140,2017,New Hampshire,33,217000,0,0,65455,264953,276069,364685,758133,736918,21215,2.8,767629,747415,20214,2.6,776471,756267,20204,2.6,759770,708566,51204,6.7,755422,728940,26482,3.5,81415,100
141,2018,New Hampshire,33,83000,0,0,65455,264953,276069,364685,758133,736918,21215,2.8,767629,747415,20214,2.6,776471,756267,20204,2.6,759770,708566,51204,6.7,755422,728940,26482,3.5,81415,100
142,2019,New Hampshire,33,204000,0,0,65455,264953,276069,364685,758133,736918,21215,2.8,767629,747415,20214,2.6,776471,756267,20204,2.6,759770,708566,51204,6.7,755422,728940,26482,3.5,81415,100
143,2020,New Hampshire,33,221000,44028,758,65455,264953,276069,364685,758133,736918,21215,2.8,767629,747415,20214,2.6,776471,756267,20204,2.6,759770,708566,51204,6.7,755422,728940,26482,3.5,81415,100
144,2021,New Hampshire,33,243000,198667,1961,65455,264953,276069,364685,758133,736918,21215,2.8,767629,747415,20214,2.6,776471,756267,20204,2.6,759770,708566,51204,6.7,755422,728940,26482,3.5,81415,100
145,2017,New Jersey,34,1106000,0,0,600761,1649853,1405825,2513062,4614953,4406151,208802,4.5,4609773,4426617,183156,4,4686701,4528168,158533,3.4,4642945,4203278,439667,9.5,4661087,4365397,295690,6.3,87095,100
146,2018,New Jersey,34,441000,0,0,600761,1649853,1405825,2513062,4614953,4406151,208802,4.5,4609773,4426617,183156,4,4686701,4528168,158533,3.4,4642945,4203278,439667,9.5,4661087,4365397,295690,6.3,87095,100
147,2019,New Jersey,34,1062000,0,0,600761,1649853,1405825,2513062,4614953,4406151,208802,4.5,4609773,4426617,183156,4,4686701,4528168,158533,3.4,4642945,4203278,439667,9.5,4661087,4365397,295690,6.3,87095,100
148,2020,New Jersey,34,1112000,527784,19042,600761,1649853,1405825,2513062,4614953,4406151,208802,4.5,4609773,4426617,183156,4,4686701,4528168,158533,3.4,4642945,4203278,439667,9.5,4661087,4365397,295690,6.3,87095,100
149,2021,New Jersey,34,1122000,1564253,29037,600761,1649853,1405825,2513062,4614953,4406151,208802,4.5,4609773,4426617,183156,4,4686701,4528168,158533,3.4,4642945,4203278,439667,9.5,4661087,4365397,295690,6.3,87095,100
150,2017,New Mexico,35,309000,0,0,191076,370125,455809,398288,948581,890988,57593,6.1,950366,903757,46609,4.9,963804,916149,47655,4.9,935706,860105,75601,8.1,943356,879329,64027,6.8,52285,100
151,2018,New Mexico,35,178000,0,0,191076,370125,455809,398288,948581,890988,57593,6.1,950366,903757,46609,4.9,963804,916149,47655,4.9,935706,860105,75601,8.1,943356,879329,64027,6.8,52285,100
152,2019,New Mexico,35,298000,0,0,191076,370125,455809,398288,948581,890988,57593,6.1,950366,903757,46609,4.9,963804,916149,47655,4.9,935706,860105,75601,8.1,943356,879329,64027,6.8,52285,100
153,2020,New Mexico,35,300000,142864,2385,191076,370125,455809,398288,948581,890988,57593,6.1,950366,903757,46609,4.9,963804,916149,47655,4.9,935706,860105,75601,8.1,943356,879329,64027,6.8,52285,100
154,2021,New Mexico,35,338000,350043,5855,191076,370125,455809,398288,948581,890988,57593,6.1,950366,903757,46609,4.9,963804,916149,47655,4.9,935706,860105,75601,8.1,943356,879329,64027,6.8,52285,100
155,2017,North Carolina,37,1429000,0,0,815216,1806403,2201264,2273890,4865900,4646212,219688,4.5,4915963,4719018,196945,4,4999810,4808270,191540,3.8,4848893,4505462,343431,7.1,4959672,4721198,238474,4.8,59616,100
156,2018,North Carolina,37,89000,0,0,815216,1806403,2201264,2273890,4865900,4646212,219688,4.5,4915963,4719018,196945,4,4999810,4808270,191540,3.8,4848893,4505462,343431,7.1,4959672,4721198,238474,4.8,59616,100
157,2019,North Carolina,37,1440000,0,0,815216,1806403,2201264,2273890,4865900,4646212,219688,4.5,4915963,4719018,196945,4,4999810,4808270,191540,3.8,4848893,4505462,343431,7.1,4959672,4721198,238474,4.8,59616,100
158,2020,North Carolina,37,1469000,547683,7925,815216,1806403,2201264,2273890,4865900,4646212,219688,4.5,4915963,4719018,196945,4,4999810,4808270,191540,3.8,4848893,4505462,343431,7.1,4959672,4721198,238474,4.8,59616,100
159,2021,North Carolina,37,1532000,1695105,19828,815216,1806403,2201264,2273890,4865900,4646212,219688,4.5,4915963,4719018,196945,4,4999810,4808270,191540,3.8,4848893,4505462,343431,7.1,4959672,4721198,238474,4.8,59616,100
160,2017,North Dakota,38,89000,0,0,34308,129837,180727,152653,415765,404901,10864,2.6,412764,403002,9762,2.4,415169,406304,8865,2.1,411550,390504,21046,5.1,406187,391255,14932,3.7,64289,100
161,2018,North Dakota,38,454000,0,0,34308,129837,180727,152653,415765,404901,10864,2.6,412764,403002,9762,2.4,415169,406304,8865,2.1,411550,390504,21046,5.1,406187,391255,14932,3.7,64289,100
162,2019,North Dakota,38,97000,0,0,34308,129837,180727,152653,415765,404901,10864,2.6,412764,403002,9762,2.4,415169,406304,8865,2.1,411550,390504,21046,5.1,406187,391255,14932,3.7,64289,100
163,2020,North Dakota,38,108000,92770,1309,34308,129837,180727,152653,415765,404901,10864,2.6,412764,403002,9762,2.4,415169,406304,8865,2.1,411550,390504,21046,5.1,406187,391255,14932,3.7,64289,100
164,2021,North Dakota,38,116000,174626,2012,34308,129837,180727,152653,415765,404901,10864,2.6,412764,403002,9762,2.4,415169,406304,8865,2.1,411550,390504,21046,5.1,406187,391255,14932,3.7,64289,100
165,2017,Ohio,39,1777000,0,0,738770,2629870,2330787,2315539,5818975,5529479,289496,5,5815549,5553767,261782,4.5,5871248,5626326,244922,4.2,5734179,5263034,471145,8.2,5736882,5441879,295003,5.1,60360,100
166,2018,Ohio,39,104000,0,0,738770,2629870,2330787,2315539,5818975,5529479,289496,5,5815549,5553767,261782,4.5,5871248,5626326,244922,4.2,5734179,5263034,471145,8.2,5736882,5441879,295003,5.1,60360,100
167,2019,Ohio,39,1741000,0,0,738770,2629870,2330787,2315539,5818975,5529479,289496,5,5815549,5553767,261782,4.5,5871248,5626326,244922,4.2,5734179,5263034,471145,8.2,5736882,5441879,295003,5.1,60360,100
168,2020,Ohio,39,1906000,700380,8962,738770,2629870,2330787,2315539,5818975,5529479,289496,5,5815549,5553767,261782,4.5,5871248,5626326,244922,4.2,5734179,5263034,471145,8.2,5736882,5441879,295003,5.1,60360,100
169,2021,Ohio,39,2112000,2016095,29447,738770,2629870,2330787,2315539,5818975,5529479,289496,5,5815549,5553767,261782,4.5,5871248,5626326,244922,4.2,5734179,5263034,471145,8.2,5736882,5441879,295003,5.1,60360,100
170,2017,Oklahoma,40,540000,0,0,299032,812618,817128,682902,1826272,1752733,73539,4,1833020,1773125,59895,3.3,1840199,1782686,57513,3.1,1835861,1721525,114336,6.2,1854234,1783080,71154,3.8,54512,100
171,2018,Oklahoma,40,2684000,0,0,299032,812618,817128,682902,1826272,1752733,73539,4,1833020,1773125,59895,3.3,1840199,1782686,57513,3.1,1835861,1721525,114336,6.2,1854234,1783080,71154,3.8,54512,100
172,2019,Oklahoma,40,545000,0,0,299032,812618,817128,682902,1826272,1752733,73539,4,1833020,1773125,59895,3.3,1840199,1782686,57513,3.1,1835861,1721525,114336,6.2,1854234,1783080,71154,3.8,54512,100
173,2020,Oklahoma,40,592000,325524,4564,299032,812618,817128,682902,1826272,1752733,73539,4,1833020,1773125,59895,3.3,1840199,1782686,57513,3.1,1835861,1721525,114336,6.2,1854234,1783080,71154,3.8,54512,100
174,2021,Oklahoma,40,657000,708938,11555,299032,812618,817128,682902,1826272,1752733,73539,4,1833020,1773125,59895,3.3,1840199,1782686,57513,3.1,1835861,1721525,114336,6.2,1854234,1783080,71154,3.8,54512,100
175,2017,Oregon,41,692000,0,0,260785,667341,1003660,1013044,2075682,1991503,84179,4.1,2080199,1996790,83409,4,2094977,2017379,77598,3.7,2104558,1944845,159713,7.6,2148333,2036138,112195,5.2,67832,100
176,2018,Oregon,41,807000,0,0,260785,667341,1003660,1013044,2075682,1991503,84179,4.1,2080199,1996790,83409,4,2094977,2017379,77598,3.7,2104558,1944845,159713,7.6,2148333,2036138,112195,5.2,67832,100
177,2019,Oregon,41,714000,0,0,260785,667341,1003660,1013044,2075682,1991503,84179,4.1,2080199,1996790,83409,4,2094977,2017379,77598,3.7,2104558,1944845,159713,7.6,2148333,2036138,112195,5.2,67832,100
178,2020,Oregon,41,731000,113909,1477,260785,667341,1003660,1013044,2075682,1991503,84179,4.1,2080199,1996790,83409,4,2094977,2017379,77598,3.7,2104558,1944845,159713,7.6,2148333,2036138,112195,5.2,67832,100
179,2021,Oregon,41,783000,421263,5655,260785,667341,1003660,1013044,2075682,1991503,84179,4.1,2080199,1996790,83409,4,2094977,2017379,77598,3.7,2104558,1944845,159713,7.6,2148333,2036138,112195,5.2,67832,100
180,2017,Pennsylvania,42,1731000,0,0,809967,3072381,2201133,2906517,6485253,6161913,323340,5,6500149,6210098,290051,4.5,6560773,6266508,294265,4.5,6482770,5893583,589187,9.1,6406185,5999442,406743,6.3,64898,100
181,2018,Pennsylvania,42,806000,0,0,809967,3072381,2201133,2906517,6485253,6161913,323340,5,6500149,6210098,290051,4.5,6560773,6266508,294265,4.5,6482770,5893583,589187,9.1,6406185,5999442,406743,6.3,64898,100
182,2019,Pennsylvania,42,1861000,0,0,809967,3072381,2201133,2906517,6485253,6161913,323340,5,6500149,6210098,290051,4.5,6560773,6266508,294265,4.5,6482770,5893583,589187,9.1,6406185,5999442,406743,6.3,64898,100
183,2020,Pennsylvania,42,1814000,648569,15978,809967,3072381,2201133,2906517,6485253,6161913,323340,5,6500149,6210098,290051,4.5,6560773,6266508,294265,4.5,6482770,5893583,589187,9.1,6406185,5999442,406743,6.3,64898,100
184,2021,Pennsylvania,42,1963000,2036424,36705,809967,3072381,2201133,2906517,6485253,6161913,323340,5,6500149,6210098,290051,4.5,6560773,6266508,294265,4.5,6482770,5893583,589187,9.1,6406185,5999442,406743,6.3,64898,100
185,2017,Rhode Island,44,178000,0,0,80258,207358,194110,259644,568144,542552,25592,4.5,571152,547994,23158,4.1,572382,552057,20325,3.6,567055,514911,52144,9.2,571034,538969,32065,5.6,73919,100
186,2018,Rhode Island,44,102000,0,0,80258,207358,194110,259644,568144,542552,25592,4.5,571152,547994,23158,4.1,572382,552057,20325,3.6,567055,514911,52144,9.2,571034,538969,32065,5.6,73919,100
187,2019,Rhode Island,44,160000,0,0,80258,207358,194110,259644,568144,542552,25592,4.5,571152,547994,23158,4.1,572382,552057,20325,3.6,567055,514911,52144,9.2,571034,538969,32065,5.6,73919,100
188,2020,Rhode Island,44,178000,85399,1778,80258,207358,194110,259644,568144,542552,25592,4.5,571152,547994,23158,4.1,572382,552057,20325,3.6,567055,514911,52144,9.2,571034,538969,32065,5.6,73919,100
189,2021,Rhode Island,44,187000,222729,3074,80258,207358,194110,259644,568144,542552,25592,4.5,571152,547994,23158,4.1,572382,552057,20325,3.6,567055,514911,52144,9.2,571034,538969,32065,5.6,73919,100
190,2017,South Carolina,45,636000,0,0,410334,1014022,1069964,1018306,2261766,2166708,95058,4.2,2279431,2202377,77054,3.4,2321189,2256313,64876,2.8,2330863,2191331,139532,6,2364366,2269813,94553,4,57216,100
191,2018,South Carolina,45,1587000,0,0,410334,1014022,1069964,1018306,2261766,2166708,95058,4.2,2279431,2202377,77054,3.4,2321189,2256313,64876,2.8,2330863,2191331,139532,6,2364366,2269813,94553,4,57216,100
192,2019,South Carolina,45,677000,0,0,410334,1014022,1069964,1018306,2261766,2166708,95058,4.2,2279431,2202377,77054,3.4,2321189,2256313,64876,2.8,2330863,2191331,139532,6,2364366,2269813,94553,4,57216,100
193,2020,South Carolina,45,706000,317430,5306,410334,1014022,1069964,1018306,2261766,2166708,95058,4.2,2279431,2202377,77054,3.4,2321189,2256313,64876,2.8,2330863,2191331,139532,6,2364366,2269813,94553,4,57216,100
194,2021,South Carolina,45,760000,978154,14675,410334,1014022,1069964,1018306,2261766,2166708,95058,4.2,2279431,2202377,77054,3.4,2321189,2256313,64876,2.8,2330863,2191331,139532,6,2364366,2269813,94553,4,57216,100
195,2017,South Dakota,46,104000,0,0,45170,175340,189743,169991,455339,441450,13889,3.1,457328,444569,12759,2.8,461610,448619,12991,2.8,461624,441550,20074,4.3,468015,453511,14504,3.1,61149,100
196,2018,South Dakota,46,993000,0,0,45170,175340,189743,169991,455339,441450,13889,3.1,457328,444569,12759,2.8,461610,448619,12991,2.8,461624,441550,20074,4.3,468015,453511,14504,3.1,61149,100
197,2019,South Dakota,46,113000,0,0,45170,175340,189743,169991,455339,441450,13889,3.1,457328,444569,12759,2.8,461610,448619,12991,2.8,461624,441550,20074,4.3,468015,453511,14504,3.1,61149,100
198,2020,South Dakota,46,112000,99164,1488,45170,175340,189743,169991,455339,441450,13889,3.1,457328,444569,12759,2.8,461610,448619,12991,2.8,461624,441550,20074,4.3,468015,453511,14504,3.1,61149,100
199,2021,South Dakota,46,118000,179204,2486,45170,175340,189743,169991,455339,441450,13889,3.1,457328,444569,12759,2.8,461610,448619,12991,2.8,461624,441550,20074,4.3,468015,453511,14504,3.1,61149,100
200,2017,Tennessee,47,1005000,0,0,547733,1479648,1313494,1308972,3197032,3077515,119517,3.7,3260862,3147030,113832,3.5,3339543,3226045,113498,3.4,3299424,3055830,243594,7.4,3327966,3185263,142703,4.3,56962,100
201,2018,Tennessee,47,1731000,0,0,547733,1479648,1313494,1308972,3197032,3077515,119517,3.7,3260862,3147030,113832,3.5,3339543,3226045,113498,3.4,3299424,3055830,243594,7.4,3327966,3185263,142703,4.3,56962,100
202,2019,Tennessee,47,986000,0,0,547733,1479648,1313494,1308972,3197032,3077515,119517,3.7,3260862,3147030,113832,3.5,3339543,3226045,113498,3.4,3299424,3055830,243594,7.4,3327966,3185263,142703,4.3,56962,100
203,2020,Tennessee,47,937000,576157,6810,547733,1479648,1313494,1308972,3197032,3077515,119517,3.7,3260862,3147030,113832,3.5,3339543,3226045,113498,3.4,3299424,3055830,243594,7.4,3327966,3185263,142703,4.3,56962,100
204,2021,Tennessee,47,1006000,1425369,20880,547733,1479648,1313494,1308972,3197032,3077515,119517,3.7,3260862,3147030,113832,3.5,3339543,3226045,113498,3.4,3299424,3055830,243594,7.4,3327966,3185263,142703,4.3,56962,100
205,2017,Texas,48,3229000,0,0,2884734,4559034,5343905,5662178,13473991,12888025,585966,4.3,13684009,13149672,534337,3.9,13871780,13381020,490760,3.5,13870874,12808616,1062258,7.7,14220446,13413036,807410,5.7,66048,100
206,2018,Texas,48,94000,0,0,2884734,4559034,5343905,5662178,13473991,12888025,585966,4.3,13684009,13149672,534337,3.9,13871780,13381020,490760,3.5,13870874,12808616,1062258,7.7,14220446,13413036,807410,5.7,66048,100
207,2019,Texas,48,3196000,0,0,2884734,4559034,5343905,5662178,13473991,12888025,585966,4.3,13684009,13149672,534337,3.9,13871780,13381020,490760,3.5,13870874,12808616,1062258,7.7,14220446,13413036,807410,5.7,66048,100
208,2020,Texas,48,3347000,1756172,31282,2884734,4559034,5343905,5662178,13473991,12888025,585966,4.3,13684009,13149672,534337,3.9,13871780,13381020,490760,3.5,13870874,12808616,1062258,7.7,14220446,13413036,807410,5.7,66048,100
209,2021,Texas,48,3602000,4576799,74491,2884734,4559034,5343905,5662178,13473991,12888025,585966,4.3,13684009,13149672,534337,3.9,13871780,13381020,490760,3.5,13870874,12808616,1062258,7.7,14220446,13413036,807410,5.7,66048,100
210,2017,Utah,49,417000,0,0,131710,425180,663512,648070,1554352,1505413,48939,3.1,1583703,1537389,46314,2.9,1618055,1576421,41634,2.6,1640426,1562799,77627,4.7,1681494,1636150,45344,2.7,77785,100
211,2018,Utah,49,417000,0,0,131710,425180,663512,648070,1554352,1505413,48939,3.1,1583703,1537389,46314,2.9,1618055,1576421,41634,2.6,1640426,1562799,77627,4.7,1681494,1636150,45344,2.7,77785,100
212,2019,Utah,49,464000,0,0,131710,425180,663512,648070,1554352,1505413,48939,3.1,1583703,1537389,46314,2.9,1618055,1576421,41634,2.6,1640426,1562799,77627,4.7,1681494,1636150,45344,2.7,77785,100
213,2020,Utah,49,550000,276612,1269,131710,425180,663512,648070,1554352,1505413,48939,3.1,1583703,1537389,46314,2.9,1618055,1576421,41634,2.6,1640426,1562799,77627,4.7,1681494,1636150,45344,2.7,77785,100
214,2021,Utah,49,599000,636992,3787,131710,425180,663512,648070,1554352,1505413,48939,3.1,1583703,1537389,46314,2.9,1618055,1576421,41634,2.6,1640426,1562799,77627,4.7,1681494,1636150,45344,2.7,77785,100
215,2017,Vermont,50,102000,0,0,28757,124892,113112,175328,355385,344698,10687,3,356456,347125,9331,2.6,355950,347600,8350,2.3,341137,322078,19059,5.6,328216,316941,11275,3.4,67717,100
216,2018,Vermont,50,1005000,0,0,28757,124892,113112,175328,355385,344698,10687,3,356456,347125,9331,2.6,355950,347600,8350,2.3,341137,322078,19059,5.6,328216,316941,11275,3.4,67717,100
217,2019,Vermont,50,104000,0,0,28757,124892,113112,175328,355385,344698,10687,3,356456,347125,9331,2.6,355950,347600,8350,2.3,341137,322078,19059,5.6,328216,316941,11275,3.4,67717,100
218,2020,Vermont,50,104000,6970,145,28757,124892,113112,175328,355385,344698,10687,3,356456,347125,9331,2.6,355950,347600,8350,2.3,341137,322078,19059,5.6,328216,316941,11275,3.4,67717,100
219,2021,Vermont,50,112000,60788,453,28757,124892,113112,175328,355385,344698,10687,3,356456,347125,9331,2.6,355950,347600,8350,2.3,341137,322078,19059,5.6,328216,316941,11275,3.4,67717,100
220,2017,Washington,53,1049000,0,0,431403,1133689,1727441,1907238,3727683,3554754,172929,4.6,3813320,3644274,169046,4.4,3933774,3764634,169140,4.3,3929477,3596814,332663,8.5,3913513,3708738,204775,5.2,80319,100
221,2018,Washington,53,692000,0,0,431403,1133689,1727441,1907238,3727683,3554754,172929,4.6,3813320,3644274,169046,4.4,3933774,3764634,169140,4.3,3929477,3596814,332663,8.5,3913513,3708738,204775,5.2,80319,100
222,2019,Washington,53,1139000,0,0,431403,1133689,1727441,1907238,3727683,3554754,172929,4.6,3813320,3644274,169046,4.4,3933774,3764634,169140,4.3,3929477,3596814,332663,8.5,3913513,3708738,204775,5.2,80319,100
223,2020,Washington,53,1269000,244803,3461,431403,1133689,1727441,1907238,3727683,3554754,172929,4.6,3813320,3644274,169046,4.4,3933774,3764634,169140,4.3,3929477,3596814,332663,8.5,3913513,3708738,204775,5.2,80319,100
224,2021,Washington,53,1360000,859170,9853,431403,1133689,1727441,1907238,3727683,3554754,172929,4.6,3813320,3644274,169046,4.4,3933774,3764634,169140,4.3,3929477,3596814,332663,8.5,3913513,3708738,204775,5.2,80319,100
225,2017,West Virginia,54,305000,0,0,159031,513143,338270,273425,784744,743786,40958,5.2,793715,752726,40989,5.2,796776,757484,39292,4.9,783027,719175,63852,8.2,788826,749132,39694,5,49202,100
226,2018,West Virginia,54,1049000,0,0,159031,513143,338270,273425,784744,743786,40958,5.2,793715,752726,40989,5.2,796776,757484,39292,4.9,783027,719175,63852,8.2,788826,749132,39694,5,49202,100
227,2019,West Virginia,54,300000,0,0,159031,513143,338270,273425,784744,743786,40958,5.2,793715,752726,40989,5.2,796776,757484,39292,4.9,783027,719175,63852,8.2,788826,749132,39694,5,49202,100
228,2020,West Virginia,54,337000,85334,1338,159031,513143,338270,273425,784744,743786,40958,5.2,793715,752726,40989,5.2,796776,757484,39292,4.9,783027,719175,63852,8.2,788826,749132,39694,5,49202,100
229,2021,West Virginia,54,347000,328162,5336,159031,513143,338270,273425,784744,743786,40958,5.2,793715,752726,40989,5.2,796776,757484,39292,4.9,783027,719175,63852,8.2,788826,749132,39694,5,49202,100
230,2017,Wisconsin,55,807000,0,0,295207,1205321,1255043,1226547,3141757,3039348,102409,3.3,3129386,3036071,93315,3,3120590,3021491,99099,3.2,3105882,2909004,196878,6.3,3134439,3016039,118400,3.8,64901,100
231,2018,Wisconsin,55,251000,0,0,295207,1205321,1255043,1226547,3141757,3039348,102409,3.3,3129386,3036071,93315,3,3120590,3021491,99099,3.2,3105882,2909004,196878,6.3,3134439,3016039,118400,3.8,64901,100
232,2019,Wisconsin,55,817000,0,0,295207,1205321,1255043,1226547,3141757,3039348,102409,3.3,3129386,3036071,93315,3,3120590,3021491,99099,3.2,3105882,2909004,196878,6.3,3134439,3016039,118400,3.8,64901,100
233,2020,Wisconsin,55,859000,520438,5242,295207,1205321,1255043,1226547,3141757,3039348,102409,3.3,3129386,3036071,93315,3,3120590,3021491,99099,3.2,3105882,2909004,196878,6.3,3134439,3016039,118400,3.8,64901,100
234,2021,Wisconsin,55,904000,1120669,11173,295207,1205321,1255043,1226547,3141757,3039348,102409,3.3,3129386,3036071,93315,3,3120590,3021491,99099,3.2,3105882,2909004,196878,6.3,3134439,3016039,118400,3.8,64901,100
235,2017,Wyoming,56,83000,0,0,25201,112183,144736,110699,293802,281164,12638,4.3,292781,280909,11872,4.1,294380,283377,11003,3.7,293722,276739,16983,5.8,290404,277372,13032,4.5,67284,100
236,2018,Wyoming,56,1777000,0,0,25201,112183,144736,110699,293802,281164,12638,4.3,292781,280909,11872,4.1,294380,283377,11003,3.7,293722,276739,16983,5.8,290404,277372,13032,4.5,67284,100
237,2019,Wyoming,56,85000,0,0,25201,112183,144736,110699,293802,281164,12638,4.3,292781,280909,11872,4.1,294380,283377,11003,3.7,293722,276739,16983,5.8,290404,277372,13032,4.5,67284,100
238,2020,Wyoming,56,88000,44409,438,25201,112183,144736,110699,293802,281164,12638,4.3,292781,280909,11872,4.1,294380,283377,11003,3.7,293722,276739,16983,5.8,290404,277372,13032,4.5,67284,100
239,2021,Wyoming,56,98000,115638,1526,25201,112183,144736,110699,293802,281164,12638,4.3,292781,280909,11872,4.1,294380,283377,11003,3.7,293722,276739,16983,5.8,290404,277372,13032,4.5,67284,100
