,State,FIPS_x,Tot_Cases,Tot_Deaths,18_or_Older_2019,18_to_25_2019,26_or_Older_2019,18_or_Older_2020,18_to_25_2020,26_or_Older_2020,18_or_Older_2021,FIPS_y,18 or Older Estimate_x,18-25 Estimate_x,26 or Older Estimate_x,18 or Older Estimate_y,18-25 Estimate_y,26 or Older Estimate_y,<High School,High School,Some college or associates degree,Bachelors degree or higher,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020
10,Hawaii,15,64290688,499260,185,33,152,189,40,149,187000,15,185,33,152,189,40,149,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,667914,16776,582979,79512,630187,38226,86878
11,Idaho,16,309149461,4293121,293,59,234,333,67,266,311000,16,293,59,234,333,67,266,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,862864,26330,848741,48998,884328,32728,62603
12,Illinois,17,169225668,1900529,1858,374,1484,2000,381,1619,1754000,17,1858,374,1484,2000,381,1619,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6308535,260280,5781084,585632,5935974,382941,71243
13,Indiana,18,1182162104,18390239,1125,222,904,1109,214,895,1129000,18,1125,222,904,1109,214,895,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3282443,111320,3083159,239670,3203166,118382,60794
14,Iowa,19,645097145,10341882,441,95,347,503,106,397,473000,19,441,95,347,503,106,397,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1704063,45557,1595824,86433,1605206,70869,62362
15,Kansas,20,284373178,3671086,442,89,352,560,111,450,420000,20,442,89,352,560,111,450,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1450705,46812,1408965,84741,1447323,48342,63214
16,Kentucky,21,457561503,6468016,762,125,637,742,126,616,746000,21,762,125,637,742,126,616,389642,990196,895321,759332,2053398,1955234,98164,4.8,2054913,1968398,86515,4.2,1986171,84238,1886999,129803,1941737,95205,54074
17,Maine,23,619618704,12658590,238,39,199,234,39,196,223000,23,238,39,199,234,39,196,66525,307457,289228,319175,703871,680164,23707,3.4,703138,681334,21804,3.1,682271,19360,641262,33969,650334,31550,59145
18,Maryland,24,391423235,7096880,810,167,643,822,178,644,781000,24,810,167,643,822,178,644,393028,1006008,1062484,1703178,3243896,3114580,129316,4.0,3261068,3142323,118745,3.6,3212155,114342,3012106,215421,2992228,183322,88589
19,Massachusetts,25,73002917,763835,1157,233,924,1172,239,933,1155000,25,1157,233,924,1172,239,933,429794,1133358,1108037,2144142,3724520,3582389,142131,3.8,3809873,3678445,131428,3.4,3714547,117400,3390249,351435,3535478,215392,87288
20,Michigan,26,877859662,15943212,1571,306,1265,1729,343,1385,1469000,26,1571,306,1265,1729,343,1385,596313,1955654,2246576,2055131,4911247,4685853,225394,4.6,4940313,4734158,206155,4.2,4766050,203244,4361873,484140,4495651,280459,61352
21,Minnesota,27,526499487,5671785,876,182,694,997,191,806,819000,27,876,182,694,997,191,806,252331,921198,1230334,1398575,3071006,2963830,107176,3.5,3085627,2989055,96572,3.1,3021984,107860,2925515,197466,2918393,102967,75489
22,Mississippi,28,543215972,8000275,446,78,368,465,72,393,431000,28,446,78,368,465,72,393,291035,596914,643964,451199,1272685,1206102,66583,5.2,1268435,1205737,62698,4.9,1207543,69600,1145211,98304,1184401,69838,47368
23,Missouri,29,1921988,7085,1056,195,861,996,195,801,993000,29,1056,195,861,996,195,801,393045,1275987,1257176,1250584,3053526,2939306,114220,3.7,3045865,2949910,95955,3.2,2976643,95430,2853353,183809,2928368,134081,58812
24,Montana,30,303544783,5901062,171,31,140,195,37,158,163000,30,171,31,140,195,37,158,44228,206206,240758,243496,528441,506871,21570,4.1,533821,513858,19963,3.7,522898,19381,511616,31301,531202,18541,57730
25,Nebraska,31,101041034,1315735,290,65,225,335,68,267,257000,31,290,65,225,335,68,267,106184,324098,419943,409315,1023163,992740,30423,3.0,1034214,1004261,29953,2.9,1016904,31916,1001426,43115,1022662,26371,64735
26,Nevada,32,934496795,10596145,512,81,431,508,91,417,474000,32,512,81,431,508,91,417,273999,584698,702126,532997,1444262,1372022,72240,5.0,1492831,1427371,65460,4.4,1479777,61995,1299640,203208,1395939,108822,64608
27,New Hampshire,33,94292945,1076789,243,47,196,260,48,212,221000,33,243,47,196,260,48,212,65455,264953,276069,364685,758133,736918,21215,2.8,767629,747415,20214,2.6,756267,20204,708566,51204,728940,26482,81415
28,New Jersey,34,187137676,1766936,1122,217,905,1251,263,988,1112000,34,1122,217,905,1251,263,988,600761,1649853,1405825,2513062,4614953,4406151,208802,4.5,4609773,4426617,183156,4.0,4528168,158533,4203278,439667,4365397,295690,87095
29,New Mexico,35,97088377,1051385,338,59,279,337,62,275,300000,35,338,59,279,337,62,275,191076,370125,455809,398288,948581,890988,57593,6.1,950366,903757,46609,4.9,916149,47655,860105,75601,879329,64027,52285
30,New York,36,845572951,19354698,2972,555,2417,2855,549,2306,2802000,36,2972,555,2417,2855,549,2306,1743890,3474389,3318086,5112792,9838170,9382750,455420,4.6,9842263,9440487,401776,4.1,9502625,377586,8631276,943756,8786280,655178,73354
31,North Carolina,37,186267006,3113265,1532,286,1246,1592,313,1280,1469000,37,1532,286,1246,1592,313,1280,815216,1806403,2201264,2273890,4865900,4646212,219688,4.5,4915963,4719018,196945,4.0,4808270,191540,4505462,343431,4721198,238474,59616
32,North Dakota,38,279599806,4410615,116,27,89,118,27,91,108000,38,116,27,89,118,27,91,34308,129837,180727,152653,415765,404901,10864,2.6,412764,403002,9762,2.4,406304,8865,390504,21046,391255,14932,64289
33,Ohio,39,996860614,14519744,2112,385,1728,2177,379,1798,1906000,39,2112,385,1728,2177,379,1798,738770,2629870,2330787,2315539,5818975,5529479,289496,5.0,5815549,5553767,261782,4.5,5626326,244922,5263034,471145,5441879,295003,60360
34,Oklahoma,40,982566597,15237951,657,131,526,752,153,598,592000,40,657,131,526,752,153,598,299032,812618,817128,682902,1826272,1752733,73539,4.0,1833020,1773125,59895,3.3,1782686,57513,1721525,114336,1783080,71154,54512
35,Oregon,41,397769476,5831460,783,135,647,909,151,759,731000,41,783,135,647,909,151,759,260785,667341,1003660,1013044,2075682,1991503,84179,4.1,2080199,1996790,83409,4.0,2017379,77598,1944845,159713,2036138,112195,67832
