Year,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths
2021,11,129000,94286,1211
2021,12,2903000,4249748,63184
2021,13,1406000,1839879,31443
2021,15,187000,109576,1079
2021,16,311000,319382,4162
2021,17,1858000,2181009,31017
2021,18,1129000,1246854,19037
2021,19,473000,582348,7858
2021,20,442000,519544,7001
2021,21,762000,880163,13063
2021,22,734000,828695,14986
2021,23,238000,154173,1531
2021,24,810000,720888,11875
2021,25,1157000,1140614,20273
2021,26,1571000,1710271,29019
2021,27,876000,1022212,10656
2021,28,446000,543737,10450
2021,29,1056000,1006913,16074
2021,30,171000,197724,2906
2021,31,290000,342939,3341
2021,32,512000,501181,8420
2021,33,243000,198667,1961
2021,34,1122000,1564253,29037
2021,35,338000,350043,5855
2021,36,2972000,1924606,23611
2021,37,1532000,1695105,19828
2021,38,116000,174626,2012
2021,39,2112000,2016095,29447
2021,40,657000,708938,11555
2021,41,783000,421263,5655
2021,42,1963000,2036424,36705
2021,44,187000,222729,3074
2021,45,760000,978154,14675
2021,46,118000,179204,2486
2021,47,1006000,1425369,20880
2021,48,3602000,4576799,74491
2021,49,599000,636992,3787
2021,50,112000,60788,453
2021,51,1199000,1133238,15601
2021,53,1360000,859170,9853
2021,54,347000,328162,5336
2021,55,904000,1120669,11173
2021,56,98000,115638,1526
2017,1,712000,0,0
2017,2,94000,0,0
2017,4,920000,0,0
2017,5,441000,0,0
2017,6,5241000,0,0
2017,8,710000,0,0
2017,9,454000,0,0
2017,10,136000,0,0
2017,11,102000,0,0
2017,12,2463000,0,0
2017,13,1365000,0,0
2017,15,178000,0,0
2017,16,244000,0,0
2017,17,1587000,0,0
2017,18,993000,0,0
2017,19,392000,0,0
2017,20,371000,0,0
2017,21,663000,0,0
2017,22,678000,0,0
2017,23,217000,0,0
2017,24,735000,0,0
2017,25,1056000,0,0
2017,26,1441000,0,0
2017,27,806000,0,0
2017,28,422000,0,0
2017,29,862000,0,0
2017,30,154000,0,0
2017,31,251000,0,0
2017,32,392000,0,0
2017,33,217000,0,0
2017,34,1106000,0,0
2017,35,309000,0,0
2017,36,2684000,0,0
2017,37,1429000,0,0
