,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher,Employed_2017,Unemployed_2017,Employed_2018,Unemployed_2018,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020
177,2019,Pennsylvania,42,1861000,0,0,809967,3072381,2201133,2906517,6161913,323340,6210098,290051,6266508,294265,5893583,589187,5999442,406743,64898
178,2020,Pennsylvania,42,1814000,648569,15978,809967,3072381,2201133,2906517,6161913,323340,6210098,290051,6266508,294265,5893583,589187,5999442,406743,64898
179,2021,Pennsylvania,42,1963000,2036424,36705,809967,3072381,2201133,2906517,6161913,323340,6210098,290051,6266508,294265,5893583,589187,5999442,406743,64898
180,2017,Rhode Island,44,178000,0,0,80258,207358,194110,259644,542552,25592,547994,23158,552057,20325,514911,52144,538969,32065,73919
181,2018,Rhode Island,44,102000,0,0,80258,207358,194110,259644,542552,25592,547994,23158,552057,20325,514911,52144,538969,32065,73919
182,2019,Rhode Island,44,160000,0,0,80258,207358,194110,259644,542552,25592,547994,23158,552057,20325,514911,52144,538969,32065,73919
183,2020,Rhode Island,44,178000,85399,1778,80258,207358,194110,259644,542552,25592,547994,23158,552057,20325,514911,52144,538969,32065,73919
184,2021,Rhode Island,44,187000,222729,3074,80258,207358,194110,259644,542552,25592,547994,23158,552057,20325,514911,52144,538969,32065,73919
185,2017,South Carolina,45,636000,0,0,410334,1014022,1069964,1018306,2166708,95058,2202377,77054,2256313,64876,2191331,139532,2269813,94553,57216
186,2018,South Carolina,45,1587000,0,0,410334,1014022,1069964,1018306,2166708,95058,2202377,77054,2256313,64876,2191331,139532,2269813,94553,57216
187,2019,South Carolina,45,677000,0,0,410334,1014022,1069964,1018306,2166708,95058,2202377,77054,2256313,64876,2191331,139532,2269813,94553,57216
188,2020,South Carolina,45,706000,317430,5306,410334,1014022,1069964,1018306,2166708,95058,2202377,77054,2256313,64876,2191331,139532,2269813,94553,57216
189,2021,South Carolina,45,760000,978154,14675,410334,1014022,1069964,1018306,2166708,95058,2202377,77054,2256313,64876,2191331,139532,2269813,94553,57216
190,2017,South Dakota,46,104000,0,0,45170,175340,189743,169991,441450,13889,444569,12759,448619,12991,441550,20074,453511,14504,61149
191,2018,South Dakota,46,993000,0,0,45170,175340,189743,169991,441450,13889,444569,12759,448619,12991,441550,20074,453511,14504,61149
192,2019,South Dakota,46,113000,0,0,45170,175340,189743,169991,441450,13889,444569,12759,448619,12991,441550,20074,453511,14504,61149
193,2020,South Dakota,46,112000,99164,1488,45170,175340,189743,169991,441450,13889,444569,12759,448619,12991,441550,20074,453511,14504,61149
194,2021,South Dakota,46,118000,179204,2486,45170,175340,189743,169991,441450,13889,444569,12759,448619,12991,441550,20074,453511,14504,61149
195,2017,Tennessee,47,1005000,0,0,547733,1479648,1313494,1308972,3077515,119517,3147030,113832,3226045,113498,3055830,243594,3185263,142703,56962
196,2018,Tennessee,47,1731000,0,0,547733,1479648,1313494,1308972,3077515,119517,3147030,113832,3226045,113498,3055830,243594,3185263,142703,56962
197,2019,Tennessee,47,986000,0,0,547733,1479648,1313494,1308972,3077515,119517,3147030,113832,3226045,113498,3055830,243594,3185263,142703,56962
198,2020,Tennessee,47,937000,576157,6810,547733,1479648,1313494,1308972,3077515,119517,3147030,113832,3226045,113498,3055830,243594,3185263,142703,56962
199,2021,Tennessee,47,1006000,1425369,20880,547733,1479648,1313494,1308972,3077515,119517,3147030,113832,3226045,113498,3055830,243594,3185263,142703,56962
200,2017,Texas,48,3229000,0,0,2884734,4559034,5343905,5662178,12888025,585966,13149672,534337,13381020,490760,12808616,1062258,13413036,807410,66048
201,2018,Texas,48,94000,0,0,2884734,4559034,5343905,5662178,12888025,585966,13149672,534337,13381020,490760,12808616,1062258,13413036,807410,66048
202,2019,Texas,48,3196000,0,0,2884734,4559034,5343905,5662178,12888025,585966,13149672,534337,13381020,490760,12808616,1062258,13413036,807410,66048
203,2020,Texas,48,3347000,1756172,31282,2884734,4559034,5343905,5662178,12888025,585966,13149672,534337,13381020,490760,12808616,1062258,13413036,807410,66048
204,2021,Texas,48,3602000,4576799,74491,2884734,4559034,5343905,5662178,12888025,585966,13149672,534337,13381020,490760,12808616,1062258,13413036,807410,66048
205,2017,Utah,49,417000,0,0,131710,425180,663512,648070,1505413,48939,1537389,46314,1576421,41634,1562799,77627,1636150,45344,77785
206,2018,Utah,49,417000,0,0,131710,425180,663512,648070,1505413,48939,1537389,46314,1576421,41634,1562799,77627,1636150,45344,77785
207,2019,Utah,49,464000,0,0,131710,425180,663512,648070,1505413,48939,1537389,46314,1576421,41634,1562799,77627,1636150,45344,77785
208,2020,Utah,49,550000,276612,1269,131710,425180,663512,648070,1505413,48939,1537389,46314,1576421,41634,1562799,77627,1636150,45344,77785
209,2021,Utah,49,599000,636992,3787,131710,425180,663512,648070,1505413,48939,1537389,46314,1576421,41634,1562799,77627,1636150,45344,77785
210,2017,Vermont,50,102000,0,0,28757,124892,113112,175328,344698,10687,347125,9331,347600,8350,322078,19059,316941,11275,67717
211,2018,Vermont,50,1005000,0,0,28757,124892,113112,175328,344698,10687,347125,9331,347600,8350,322078,19059,316941,11275,67717
212,2019,Vermont,50,104000,0,0,28757,124892,113112,175328,344698,10687,347125,9331,347600,8350,322078,19059,316941,11275,67717
213,2020,Vermont,50,104000,6970,145,28757,124892,113112,175328,344698,10687,347125,9331,347600,8350,322078,19059,316941,11275,67717
214,2021,Vermont,50,112000,60788,453,28757,124892,113112,175328,344698,10687,347125,9331,347600,8350,322078,19059,316941,11275,67717
215,2017,Washington,53,1049000,0,0,431403,1133689,1727441,1907238,3554754,172929,3644274,169046,3764634,169140,3596814,332663,3708738,204775,80319
216,2018,Washington,53,692000,0,0,431403,1133689,1727441,1907238,3554754,172929,3644274,169046,3764634,169140,3596814,332663,3708738,204775,80319
217,2019,Washington,53,1139000,0,0,431403,1133689,1727441,1907238,3554754,172929,3644274,169046,3764634,169140,3596814,332663,3708738,204775,80319
218,2020,Washington,53,1269000,244803,3461,431403,1133689,1727441,1907238,3554754,172929,3644274,169046,3764634,169140,3596814,332663,3708738,204775,80319
219,2021,Washington,53,1360000,859170,9853,431403,1133689,1727441,1907238,3554754,172929,3644274,169046,3764634,169140,3596814,332663,3708738,204775,80319
220,2017,West Virginia,54,305000,0,0,159031,513143,338270,273425,743786,40958,752726,40989,757484,39292,719175,63852,749132,39694,49202
221,2018,West Virginia,54,1049000,0,0,159031,513143,338270,273425,743786,40958,752726,40989,757484,39292,719175,63852,749132,39694,49202
222,2019,West Virginia,54,300000,0,0,159031,513143,338270,273425,743786,40958,752726,40989,757484,39292,719175,63852,749132,39694,49202
223,2020,West Virginia,54,337000,85334,1338,159031,513143,338270,273425,743786,40958,752726,40989,757484,39292,719175,63852,749132,39694,49202
224,2021,West Virginia,54,347000,328162,5336,159031,513143,338270,273425,743786,40958,752726,40989,757484,39292,719175,63852,749132,39694,49202
225,2017,Wisconsin,55,807000,0,0,295207,1205321,1255043,1226547,3039348,102409,3036071,93315,3021491,99099,2909004,196878,3016039,118400,64901
226,2018,Wisconsin,55,251000,0,0,295207,1205321,1255043,1226547,3039348,102409,3036071,93315,3021491,99099,2909004,196878,3016039,118400,64901
227,2019,Wisconsin,55,817000,0,0,295207,1205321,1255043,1226547,3039348,102409,3036071,93315,3021491,99099,2909004,196878,3016039,118400,64901
228,2020,Wisconsin,55,859000,520438,5242,295207,1205321,1255043,1226547,3039348,102409,3036071,93315,3021491,99099,2909004,196878,3016039,118400,64901
229,2021,Wisconsin,55,904000,1120669,11173,295207,1205321,1255043,1226547,3039348,102409,3036071,93315,3021491,99099,2909004,196878,3016039,118400,64901
230,2017,Wyoming,56,83000,0,0,25201,112183,144736,110699,281164,12638,280909,11872,283377,11003,276739,16983,277372,13032,67284
231,2018,Wyoming,56,1777000,0,0,25201,112183,144736,110699,281164,12638,280909,11872,283377,11003,276739,16983,277372,13032,67284
232,2019,Wyoming,56,85000,0,0,25201,112183,144736,110699,281164,12638,280909,11872,283377,11003,276739,16983,277372,13032,67284
233,2020,Wyoming,56,88000,44409,438,25201,112183,144736,110699,281164,12638,280909,11872,283377,11003,276739,16983,277372,13032,67284
234,2021,Wyoming,56,98000,115638,1526,25201,112183,144736,110699,281164,12638,280909,11872,283377,11003,276739,16983,277372,13032,67284
235,2020,New York,36,2802000,548154,12566,1743890,3474389,3318086,5112792,9382750,455420,9440487,401776,9502625,377586,8631276,943756,8786280,655178,73354
236,2021,New York,36,2972000,1924606,23611,1743890,3474389,3318086,5112792,9382750,455420,9440487,401776,9502625,377586,8631276,943756,8786280,655178,73354
237,2020,Virginia,51,1115000,354767,5081,563601,1392823,1571035,2304490,4193290,159687,4255213,129444,4332647,123168,4097860,270912,4100803,166853,79154
238,2021,Virginia,51,1199000,1133238,15601,563601,1392823,1571035,2304490,4193290,159687,4255213,129444,4332647,123168,4097860,270912,4100803,166853,79154
